source_key,keyword,count,relative_path,path
29f_usageclientid,timeline,12,29f_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f_MASTER_SUMMARY.json
29f_usageclientid,usageClientId,5,29f_SHA256_MANIFEST.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f_SHA256_MANIFEST.csv
29f_usageclientid,external,1,29f_SHA256_MANIFEST.csv,C:\Users\Administrator\Desktop\Result\SC_UsageClientId_29f_FINAL_VERDICT\29f_SHA256_MANIFEST.csv
30d_endpoint,PATH_TARGET_MISMATCH,1,30d0_overview.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d0_overview.csv
30d_endpoint,TARGET_PATH_ONLY,1,30d10_final_endpoint_boundary_statement.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d10_final_endpoint_boundary_statement.csv
30d_endpoint,PATH_TARGET_MISMATCH,1,30d10_final_endpoint_boundary_statement.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d10_final_endpoint_boundary_statement.csv
30d_endpoint,C2025AUG,1,30d10_final_endpoint_boundary_statement.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d10_final_endpoint_boundary_statement.csv
30d_endpoint,TARGET_PATH_ONLY,393,30d1_path_owner_audited_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d1_path_owner_audited_rows.csv
30d_endpoint,PATH_TARGET_MISMATCH,233,30d1_path_owner_audited_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d1_path_owner_audited_rows.csv
30d_endpoint,mini1,4080,30d1_path_owner_audited_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d1_path_owner_audited_rows.csv
30d_endpoint,C2025AUG,1968,30d1_path_owner_audited_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d1_path_owner_audited_rows.csv
30d_endpoint,icloud.com,50,30d1_path_owner_audited_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d1_path_owner_audited_rows.csv
30d_endpoint,apple.com,1203,30d1_path_owner_audited_rows.csv,C:\Users\Administrator\Desktop\Result\SC_Endpoint_30d_PATH_OWNER_AUDIT_FINAL\30d1_path_owner_audited_rows.csv
